Datum;Von;Bis;Aktivzeit_h;Phase;Taetigkeiten;Quelle
2026-08-20;07:12;07:29;0,5;Konzeption;"Anforderungen und Projektplan erstellt; rechtliche Pruefung (App-Store-Guideline 4.2, DSGVO, Impressumspflicht); Plan erweitert um Share-Sheet-Erweiterung, Privacy Manifest, Datenschutz-/Impressum-Seite und Barrierefreiheit";git
2026-08-20;10:35;12:38;2,0;Grundgeruest;"Xcode-Projekt + Info.plist mit UTI-/Dateityp-Registrierung fuer .md; DocumentView mit Markdown-Rendering und Fehlerbehandlung; Privacy Manifest (File-Timestamp-API vermieden); Datei-/Share-Integration via LSSupportsOpeningDocumentsInPlace; VoiceOver-Unterstuetzung; Datenschutz-/Impressum-Seite fuer GitHub Pages";git
2026-08-24;02:37;02:46;0,5;Projektstruktur;"Privacy-Policy-Link im Empty State; Xcode-Projekt ins Haupt-Repo integriert (Merge inner-history)";git
2026-08-24;20:12;21:15;1,5;Kernfunktion + Tests;"Info.plist-Generierung repariert (fehlende Bundle-ID); Skill run-md-viewer (Build/Run/Screenshot im iOS-Simulator); Dateien-App-Sichtbarkeit + horizontales Scrollen fuer breite Tabellen; Unit-Test-Target, loadMarkdown testbar gemacht";git
2026-08-25;05:04;05:34;1,0;Qualitaetssicherung;"Mutation Testing mit muter eingerichtet (+ Shared Scheme); Auto-Push-Workflow nach Commits auf main; 2 Rendering-/State-Bugs behoben (Codeblock-Overflow, Dokument-Scroll-Leak); Dynamic-Type-Bug im Empty State behoben";git + Session-Log
2026-08-25;17:45;21:00;2,5;Store-Vorbereitung;"App-Store-Connect-Texte entworfen (Beschreibung, Keywords, Subtitle, Werbetext); App-Icon v1 programmatisch generiert; erste App-Store-Screenshots iPhone 6,9 Zoll + iPad 13 Zoll; UTI net.daringfireball.markdown explizit deklariert";git
2026-08-28;20:06;21:29;1,5;Feinschliff + Assets;"App-Icon final aus Vorlage generiert; Deployment Target auf iOS 17; iPad-Markdown in zentrierter Lesespalte; echte Syntax-Hervorhebung fuer Codebloecke (Highlightr, offline); Screenshots neu (je 5); iPad volle Breite (~24pt Rand); Screenshot 06 'Oeffnen mit -> md Viewer'";Session-Log
2026-08-29;05:58;13:26;2,5;Einreichungs-Vorbereitung;"Apple Developer Program Enrollment (Individual, ~99 EUR/Jahr); ITSAppUsesNonExemptEncryption = NO; Build archiviert, distribution-signiert, validiert und via Xcode Organizer hochgeladen; App-Store-Screenshots iPhone + iPad neu erzeugt (aktueller Build); Screenshot 06 'Oeffnen mit' im Simulator";Session-Log + Memory
2026-08-29;18:09;18:12;0,3;Store;"App-Store-Screenshots umsortiert ('Oeffnen mit' an Position 1)";git
2026-08-30;06:03;08:00;2,0;Share-Extension;"Share-Extension gebaut: geteilte .md-Dateien werden direkt im Teilen-Menue formatiert angezeigt (Blatt mit 'Fertig', kein Sprung in die App); Screenshots 07 'Teilen-Erweiterung' iPhone + iPad ergaenzt; App-Icon-Unterstrich zentriert; Screenshots mit sichtbarem App-Icon neu";Session-Log
2026-08-30;08:00;19:09;5,0;ASC-Metadaten + Einreichung;"Alle App-Store-Connect-Felder ausgefuellt (Preis kostenlos / 175 Laender, Alterseinstufung 4+, App-Privacy 'keine Daten erfasst', Kategorien, Review-Notizen, Rechte an Inhalten, DSA 'kein Trader'); Screenshots einzeln hochgeladen (Reihenfolge); Version 1.0 (1) zur Pruefung eingereicht um 19:09";Session-Log
2026-08-31;05:18;13:30;2,0;Review-Ablehnung bearbeiten;"Ablehnung analysiert (Guideline 2.1 - Information Needed, kein Bug, kein 4.2); Notes-Feld der Pruefinfos ausgefuellt; TestFlight interne Gruppe 'Intern' eingerichtet + Tester; Bildschirmaufnahme auf iPhone 16 Pro erstellt und komprimiert (52 -> 3,5 MB); 7-Punkte-Antwort + Video + Beispieldateien im Resolution Center gesendet; Version erneut zur Pruefung eingereicht";Session-Log
2026-09-02;16:57;21:12;3,8;Edit-Modus v1.1 + CI;"Editier-Modus v1.1 gebaut: .md-Dateien in der App bearbeiten und speichern (koordiniertes Schreiben, Tastatur-Handling, Speichern-Bestaetigung, Zuruecksetzen-Button); Code-Review-Findings ausgeraeumt; Design by Contract fuer den Schreibpfad nachgezogen (precondition/guard + Tests); CI-Skript ci/testflight.sh + ExportOptions (manuelles Distribution-Signing); Tastatur per Wisch-nach-unten ausblenden; App-Store-Texte 1.1 (Bearbeiten/Speichern nach vorn); Plan fuer v1.2 (neues Dokument aus eingefuegtem Text); Editor-Screenshot mit eingeblendeter Tastatur iPhone + iPad, Demo-Dokument Notiz.md; linker Button 'Zurueck' statt X (Build 5)";git
2026-09-03;04:37;05:34;1,0;Edit-Modus-Feinschliff;"App-Sprache explizit auf Deutsch (Store zeigte 'Englisch'), Build 6; Edit-Modus vereinfacht (Zurueck verwirft, Speichern uebernimmt), linker Button X mit Rueckfrage; schrittweiser Rueckgaengig-Button; eigene Undo-History (EditorUndoHistory) statt SwiftUI-UndoManager + Tests; Screenshot 02-bearbeiten neu (Build 8); App-Store-Texte 1.1 Feinschliff (Gedankenstriche raus)";git
2026-09-03;17:00;18:45;1,6;1.1-Einreichung + v1.2;"Bildschirmaufnahme fuer die 1.1-App-Pruefung erstellt und komprimiert (27 -> 2,9 MB); Version 1.1 zur Pruefung eingereicht, App-Store-Texte / Editor-Bedienung angeglichen; v1.2 gebaut: neues Dokument aus eingefuegtem oder eingegebenem Text + 'Als .md speichern' (MarkdownDraft), .txt-Support (Info.plist, App-Einstieg, ContentView), DocumentView umgebaut + Tests";git
;;;27,7;GESAMT;"15 Arbeitssitzungen an 9 aktiven Tagen, Kalenderspanne 20. August - 3. September 2026 (15 Tage). Werte sind rekonstruierte Schaetzungen aus Git-Historie (~76 Commits) und Claude-Code-Sitzungslogs; Pausen ueber 10 Minuten sind nicht mitgezaehlt. Groesste Unschaerfe am 30.08. (Grossteil der Einreichungsarbeit, wenige Commits): Sitzungslog legt bis zu ~9 h nahe, hier konservativ mit 7 h fuer den Tag angesetzt. Block 02.-03.09. (6,4 h): Edit-Modus v1.1, eigene Undo-History, CI-/TestFlight-Skript, 1.1-Einreichung und v1.2 (Text -> .md, .txt-Support).";Zusammenfassung
